,Depression Label { 0-Non Depressive 1-Depressive},Text Content
,,
,1,"???? ????? ????? ??? ??? ?? ???? ???,
???, ????? ?? ?????????? ?

 
"
,1,"?? ?????? ????? ?? ???? ???? ?? ???? ????? ??
?????? ???? ??? ?? ????? ???? ???? ????? ??
?? ?? ?? ???? ???? ?? ????? ?? ??? ??? ??
??? ?? ??? ?? ????? ?? ?? ?? ????? ????? ??
"
,1,"?????? ?? ??? ?? ???? ?? ??
???? ?? ??????? ?? ????? ?? ??????
?)
"
,1,"?? ?? ??? ?? ????? ??? ??
?? ??? ?? ??? ???? ??? ??????? ??
?? ?? ???? ??? ?? ????? ??.
?? ?????.???:??, -??? ???? ??
????? ??? ??? ?????? ???,
????? ?? ??? ?? ??? ?? ??
??????? ??, ??????? ??,
??????? ?? ??? ??? ??? ???,
???? ?? ??, ??? ??
"
,1,"????? ???? ??? ???
????? ?? ??? ??
???? ??? ???? ????
?? ???? ?? ??? ??

> ????????
"
,1,"??? ?? ???? ???
?????? ? ??????

??????? ??? ??? ???
????? ? ??????

???? ?? ??? ??
????? ? ??????

??? ??? ??? ??
??? ? ??????
"
,1,"??? ??? ???? ??
???? ??? 2 ???? ???? ????
?? ??? ???? ????
???????? ??? ??
??
"
,1,"??? ?????? ???

???? ????? ????? ?? ??? ??? ?? ???
??? ??? ?? ????? ?? ???
???? ?? ??? ???? ??? ?? ???
??? ??? ????? ????? ?? ??? ?? ???

??? ?????? ???
?? ??? ??? ?? ???? ??? ?????? ???
??? ?? ?? ???? ????????? ???
?? ??? ?? ?? ????? ??? ?????? ???
????? ?????,?? ??????? ??? ?????? ???
??? ?????? ???

??? ?? ??? ????? ????
?????? ?? ??? ?????? ????
???? ??? ?????? ?? ????? ???
????? ?????? ?? ????? ???

??? ?????? ???
"
,1," 

??????? ?? ?????
????? ???????? ????

???? ?????, ????
?????? ????? ???? ?????

?? ?? ????? ??.

?? 000 ?00 ??? |
"
,1,"??? ???? ???? ?? ?? ?? ???? ???,

 
"
,1,"?? ????? ??????? ??????
????? ????? ??,
?? ?? ???? ???? ?? ?? ???? ???
?? ?? ????? ??? ??? ???.
"
,1,"??
???? ???? ??? ..

??? ??
7 ?: /7? ??

?? ???

???? ????? ?? ?????
?? ???? ???..!

?
"
,1,"????????? ??????? ???
???? ???? ?????
?????? ?????? ????
??? ?????? ??
???? ??
"
,1,"???? ???? ??? ??
????? ??

57-42: ?? 7 ??|
??? ????

? |]

 
"
,1,"?

???? ???? ?? ??? ?????? ??,

(00:07: |0?

??

0 00 222 2200] '

[?
"
,1,"?? ?? ?? ??

???: |
?? 5 >>
?? ???
?? ???? ?????? ?? ????
??? ?? ??? ??? ????,
???? ?? ???? ????? ?? ?????

? ??

83878397897]76 2 8 ??
"
,1,"? ??
?
??

??? ?887 ???????] 8,
?? ??
??8

 
"
,1,"??

?? ??? ?? ??? ??
???? ??? ???? ???

49-?9)8??2??????
"
,1,"?? ??? ????? ??, ???? ???? ?? ??? ,
???? ??????? ??? ??? ?? ????.

  

5 ??? ?? ? ??, ?? ? | 0
:??. ?. 7
"
,1,"  
  
 

 
   

 ??? ??? ?? ?????? ??? ?? ??? ?? ??????? ??????? ??,
... ?? ????? ???? ???? ?? ????????? ??? ?????

... -???? ?????
"
,1,"????? ?? ???? ?? ????? ??,
???? ???? ?? ????? ???
??? ??? ???? ?? ????? ?? !!
"
,1,"?????? ?????? ???????
? 8224 ???????, !
????? ???? ?? ????? ???????. ./
?????????????? ?? ??????,
??? ?? ??? ????? ???? ???. '
????? ????? ?? ????? ???????, ...
???? ??? ??? ????? ???.
??? ?? ????? ??? ?? ??,
?????? ????? ?? ????? ???????.
????, ??????? ???!
????, ??????? ???, ?? ?? ??????? ????,
?????, ???-???? ?? ???? ???? ????,
???? ?? ?? ? ??? ????? ?? ????? ????,
???? ?? ?????? ??? ????? ??? ?????? ???,
? ??? ????, ??? ? ???? ????,
*. ??? ??? ?????? ?? ?? ?????,
? ???

4

 
"
,1,"?? ????-?? ??? ??
?? ????-?? ??? ?? ?????? ????? ???? ???

????? ???? ?? ?? ????????? ????? ???? ???

???? ?? ?? ??? ?? ???? ??

????? ????? ????? ?? ?????? ????? ???? ??

????? ???? ???? ?? ???? ??? ????

??? ??? ???? ?? ??????? ????? ???? ???

?? ????? ??? ?? ???? ?? ???? ????? ?????? ??

??? ????? ???? ????? ?? ?????? ????? ???? ??

?? ? ??? ?? ?? ???? ????? ?????? ???

??? ???? ????- ???? ???????? ????? ???? ??

(/??????? ??? (?????
"
,1,"| ??
???? ?? ?????...???? ??????? ??? ??? ??? ??
?? ?? ?????...???? ???? ??????? ???? ??? ??

   
   
   
    

???? ???? ?? ???????...????? ?? ?????

. ???? ????? ?? ???...????? ?? ????

????? ?? ????? ?? ???? ??

???? ?? ??? ???? ??...???? ?? ??????? ???? ???

??
._ ???? ????? ?? ??????...???????? ?? ???
?? ????...????? ?? ???
???? ???? ?? ???? ??
???? ??...???? ?? ??????? ???? ???

26 ?? 87000 ?? (7880 7 272
?7 ?? ??????? ?? ?????...????? ?????-???? ?????
_ ????? ?? ?? ????? ??? ?? ???? ??
04707 7: 76276 ????! 6.70]

???? ?? ?????...???? ??????? ??? ??? ??? ??
????? ?? ?????...???? ???? ??????? ???? ??? ??

??

? #.. ?00 (???.
"
,1,"???? ?? ?????? ???? ??
??????? ??? ???? ?? ??? ??? ????? ????

??
"
,1,"?? ?????? ???? ?? ??? ???? ????? ??
?? ???? ?? ???? ??????? ??? ??

(85/9)/8///828/0777
"
,1,"??? ?? ??? ?? ???
???? ???.

???, ???-??? ??? ???

???? ???!!!
"
,1,"????? ??? ??? ????? ???
??? ???? ???? ??
?? ???? ?? ??
????? ???? ???? ??

???? ???? ?? ???? ??? ???
????? ???? ???? ??

?? ???? ??? ?? ?? ????? ???

????? ???? ???? ???? ??

???? ??? ??? ???? ????
??? ?? ??? ?? ???? ??
?? ????? ????? ??? ?? ????
????? ????? ????? ??

 
"
,0,"????

???? ????? ?? ??????? ????? ??
????? ???? ??? ???????
??? ????? ?? ?? ????
?? ???? ?? ???? ?? ????
???? ???? ???

(679790?00990
"
,0," 

??????????
??? 5 6?[7 ??
???? ??? ???..
?? ???? ??

???? ??

????...

?? ?????? ?? ??
??????? ????
???? ??...
"
,0,"???? ???? ?? ??? ?????
??? ???? ???? ?? ?????? ???? ????.?

????? ??????? | ???????

 

 
"
,0,"œ 2] ??
???? ??? ????? ???? ?????

??????
????? ?? ???? ???? ??? !!

?? ?/ 0 ??/ /46

 
"
,0," 

??? ???? ?? ?? ??????
????? ?? ????? ???? ??
?? ?????...

??
? 5? |
"
,0,"?? ?? ???
?? ??? ???? ???, ??
?? ??? ????? ???? ???

???? ????? ?? ???? ???? ??????

?5_?????_?????
"
,0,"????

???? ????? ?? ??????? ????? ??
????? ???? ??? ???????
??? ????? ?? ?? ????
?? ???? ?? ???? ?? ????
???? ???? ???

(679790?00990
"
,0," 

??????????
??? 5 6?[7 ??
???? ??? ???..
?? ???? ??

???? ??

????...

?? ?????? ?? ??
??????? ????
???? ??...
"
,0," 

??????? ?? ??????? ??? ????? ?? ?????,
???? ?? ?? ?? ???? ?? ?? ???? ???:.???!
"
,0,"???? ???? ?????? ?????? ???? ??, ????
?? ?????? ???? ????? ?? ?????? ???? ??

????? ???? ?????

 
"
,0,"???? ???? ?? ??? ?????
??? ???? ???? ?? ?????? ???? ????.?

????? ??????? | ???????

 

 
"
,0," 

??? ???? ?? ?? ??????
????? ?? ????? ???? ??
?? ?????...

??
? 5? |
"
,0,"?? ?? ???
?? ??? ???? ???, ??
?? ??? ????? ???? ???

???? ????? ?? ???? ???? ??????

?5_?????_?????
"
,0,"???? ?? ??????

???? ???? ?? ????? ???? ?? ??
????? ??? ??? ????? ?? ???? ??
??? ??? ?? ???? ????,
????? ???? ???? ?? ????? ???? ??
?? ??? ?????? ????? ???.. ??????
??? ???? ?? ??? ?? ??? ????
???? ?? ????? ?? ???? ?? ????
"
,0,"??? ???? ?????? ?????
??????,
?? ???...

?? ??? ???? ?? ??
???? ???,
?? ??? ??? ???!!!
"
,0,"???????

????? ??? ??
?? ????? ???.
???? ???? ??

?????? ?? ??? ???

???? ??????
"
,0,"?? ?? ????
? ?????
"
,0,"??? ????? ??, ?? ""??? ???""
???? ?????? ???? ???
???? ?????? ?? ??, ?? ???
??? ???? ?????? ??? ????
?? ????? ?? ????? ??, ?? ???
???? ??? ????? ?? ??? ??
?? ?? ??? ???? ?? ??? ????
?? ????? ???? ??, ?? ?? ??
??????? ??? ?? ????? ??
?? ?? ??????? ?? ???????
????? ????? ??
"
,0,"????? ?????? ????
?? ?? ?? ???
??

???

 
 

???? ???????? ??
?? ??? ??????? ????? ???

?? ?? ????..
?????? ?????
"
,0,"? ????

? ???? ?? ???

? ??? ???? ????? ?
? . ??? ??
' ???? ?? ???

?? ??? ??? ?????

| / ? ???? ???

? ?? ?? ??? ????? ??.
????

 

??? ??????

$ ??. ???? ???,?

 
"
,0,"????? ?? ????? ?? ???
?? ???? ???? ????? ??
???? ??? ????

???? ????. .

|??????09???
"
,0,"??? ?? ??? ??
??? ???? ????? ??

??? ?? ?? ??

?????? ?? ??? ?? ????? ?? ""???
?????? ?? ????? ?? ?????;

?????? ?? ??? ???? ?????
?? ?????
?? ?? ?? ????, ? ????? ??
????????;

????? ?? ?????? ??

???? ?? ??? ?? ?????
"
,0,"?? ???????? ??? ?? ???????? ????-?? ??
??? ??? ??? ???? ??? ?? ???? ??? ??
"
,0,"???? ??? ?????? ?? ?? ??? ????? ?? ???

????
?? ???? ??? ???? ????? ?? ??? ?????

 
"
,0,"?? ???? ?? ???? ???? ???? ????,

???? ????? ?? ????? ?? ???? ?? ???????
"
,0,"    

??? ???? ?? ?????.....!!

??? ??? ???? ??????? ?????..
????? ?? ??? ?? ???..

??? ? ??? ????????
??? ????? ????????....!!
"
,0,"?? ??????? ?? ???? ?????
?

???? ?????? ?? ???? ??? ???
???? ?????
"
,0,"?? ?? ??? ??, ?? ??? ? ???
???? ???? ??? ??? ??????
"
,0,"?? ??? ?? ??? ??? ??
?? ???? ??
.... ?? ?? ???? ???? ??? ??
?? ?????? ??

??

 
"
,0,"?? ??????? ?? ??????
??? ??? ???? ?? ???,

?? ???????? ???? ???..
?? ?? ??? ???? ??? ?
"
